address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,numUniqSentAddress,numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherSentContracts,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0x347f65b843d2385d87b38aaf75325375b15a65db,0,63,717575,92147.75,107234,1632590969.000000,165678533.8,298,16,10,0,11,8,0,0.883769,0.126984,0.000756,0.885,0.207507,26,2.0317404909302286,2.0750693795809365,0,0.043328889,25,2,0.5882352941176471,0.5925925925925926,0.37037037037037035,0.7083787720150826,0.5273554816437255,0.087248322,0.17932149541941753
0xbc943cfdbf923130efce96703fb788438987e821,0,0,2255063,248657.8434,20,1625853880.000000,82057213.8,416,83,20,0,14,4,0,2,0.126102,0.01129,0.9955,0.285119,103,10.466477311815616,5.702371662968693,0,-4.764105649,102,2,0.23809523809523808,0.7980769230769231,0.19230769230769232,0.8642431078177311,0.5672674921013461,0.24759615384615385,2.4124803533216075
0x8b7026dc260dc47637a4b0f9e1c660f65d5eba2f,0,0,4747315,72846.06118,46,1622834247.000000,74057045.68,433,425,22,0,121,9,0,2.2,0.034992,0,2.575717,0.442976,447,14.871732948481972,9.745477159999998,0,-5.126255788,371,13,0.051643192488262914,0.9486607142857143,0.049107142857142856,0.9626861147707665,0.6109791932567109,1.0323325635103926,1.302175480418688
0x469788fe6e9e9681c6ebf3bf78e7fd26fc015446,0,0,0,0,0,1604828400.000000,164820.4764,503,0,10000,0,0,7321,0,0,0,0,0,0,10000,0,0,0,0,503,275,10000,0,0.9999000099990001,0,4.4408920985006276e-17,19.880715705765407,0
0x61e29c2fae1800101be9f52663d433c81c7cdffa,0,18,4323219,295000.76,29,1641347522.000000,91715895.67,196,25,18,0,7,9,0,0.45,0.061483,0.012598,0.55,0.117114,43,1.5370705767470212,2.1080525802048613,0,0.5709820034578401,42,2,0.6923076923076923,0.5681818181818182,0.4090909090909091,0.5289182725614869,0.5447641162505523,0.2193877551020408,0.20208596128639728
0x0ac99ba80d057dcacc37dbd99e5368e6f8548b20,0,49,92163,9194.333333,223,1647129197.000000,207282224,131,12,8,0,5,3,0,0.265,0.083112,0.005,0.1,0.052246,20,0.9973413916498877,0.41797057674702065,0,-0.579370815,19,2,0.6153846153846154,0.5714285714285714,0.38095238095238093,0.5907551763916074,0.33596558765488205,0.15267175572519084,0.27112365368519054
0x1ae74f5f0d55d82ab60b381cacec1445eaa1b26a,0,0,1811085,64685.57881,0,1607888593.000000,17390294.95,627,755,93,0,142,25,0,2,0.067127,0,3.98,0.365876,848,50.680650513439765,34.02646996398001,0,-16.65418055,624,15,0.12301587301587301,0.889281508,0.10954063604240283,0.8833491569802652,0.7388456720456911,1.3524720893141946,3.516118802869773
0xb4bee63182fd35ad51758d17d71649f21802aeb9,0,0,1017269,14200.78652,0,1645059784.000000,20633994.35,196,801,80,0,173,16,0,6,0.129638,0.0001,6.3,0.694072,881,103.84010726813686,55.52573385183998,0,-48.31437342,193,32,0.099750623,0.9081632653061225,0.090702948,0.7764582756778725,0.6479883017877656,4.494897959183674,15.224730059150414
0x38ab6fc3acc1bc569a65065c5d00af5d4d8820b5,0,69,4008145,65176.67164,27,1644443110.000000,20712576.86,196,67,80,0,1,63,0.219403,21.717327,4.491688,0.12,11.556224,3.41933,147,300.9430890000001,273.5464253400948,0,-27.39666366,145,3,1.1764705882352942,0.4527027027027027,0.5405405405405406,0.3778724409169216,0.4161555266075784,0.75,7.453643138938781
0x977acaee9bd726d2cdb1e6e2943a636dd65d73b1,0,0,2330555,53080.44066,0,1596047075.000000,21386476.44,723,1028,75,0,222,12,0,57.680682,0.814964,0,29.29442,4.283129,1103,837.7828650521267,321.2346409180038,0,-516.5482241,603,42,0.072886297,0.9311594202898551,0.067934783,0.8967478424609624,0.6705560630173748,1.5255878284923927,150.61962833482932
